Draw,Date,1,2,3,4,5,6
4601,23/08/2025,2,10,28,33,44,45
4599,16/08/2025,1,6,15,18,23,38
4597,9/08/2025,4,10,14,40,41,45
4595,2/08/2025,1,21,24,40,43,45
4593,26/07/2025,2,17,23,40,42,44
4591,19/07/2025,7,15,17,22,36,42
4589,12/07/2025,9,23,29,35,36,37
4587,5/07/2025,4,6,13,14,17,19
4585,28/06/2025,21,32,34,39,41,44
4583,21/06/2025,1,6,10,24,30,42
4581,14/06/2025,1,6,10,17,19,28
4579,7/06/2025,11,13,22,26,30,36
4577,31/05/2025,5,7,9,23,27,45
4575,24/05/2025,5,13,33,35,36,37
4573,17/05/2025,9,19,31,37,40,44
4571,10/05/2025,1,18,25,35,38,45
4569,3/05/2025,16,27,29,30,34,43
4567,26/04/2025,1,7,21,32,38,42
4565,19/04/2025,10,14,19,21,28,44
4563,12/04/2025,3,6,13,17,22,45
4561,5/04/2025,3,10,23,27,42,43
4559,29/03/2025,1,3,17,21,36,41
4557,22/03/2025,11,16,29,34,42,45
4555,15/03/2025,3,13,15,16,27,30
4553,8/03/2025,2,16,18,28,29,38
4551,1/03/2025,3,6,11,12,13,37
4549,22/02/2025,2,5,26,28,31,39
4547,15/02/2025,8,18,19,31,41,43
4545,8/02/2025,6,15,25,35,40,42
4543,1/02/2025,1,7,8,12,18,41
4541,25/01/2025,8,12,15,21,28,34
4539,18/01/2025,7,11,15,19,34,45
4537,11/01/2025,6,8,18,19,29,38
4535,4/01/2025,8,10,19,23,31,33
4533,28/12/2024,4,12,26,29,40,41
4531,21/12/2024,9,18,25,27,38,44
4529,14/12/2024,6,7,11,21,30,35
4527,7/12/2024,1,7,11,13,16,35
4525,30/11/2024,8,13,16,30,39,41
4523,23/11/2024,3,6,17,25,40,42
4521,16/11/2024,5,6,8,29,38,44
4519,9/11/2024,5,6,30,37,39,43
4517,2/11/2024,1,3,6,10,18,42
4515,26/10/2024,1,25,29,35,42,43
4513,19/10/2024,5,15,22,26,33,43
4511,12/10/2024,2,8,10,21,28,45
4509,5/10/2024,13,15,18,24,27,30
4507,28/09/2024,15,19,29,34,37,40
4505,21/09/2024,6,21,24,29,32,42
4503,14/09/2024,6,14,22,32,34,38
4501,7/09/2024,7,13,15,16,20,38
4499,31/08/2024,4,6,15,20,32,39
4497,24/08/2024,5,8,42,43,44,45
4495,17/08/2024,1,3,15,23,25,41
4493,10/08/2024,4,10,37,38,42,45
4491,3/08/2024,10,11,12,13,41,45
4489,27/07/2024,4,11,20,27,37,45
4487,20/07/2024,17,23,25,29,30,31
4485,13/07/2024,1,2,18,21,24,36
4483,6/07/2024,3,4,15,20,26,44
4481,29/06/2024,10,21,24,30,44,45
4479,22/06/2024,2,22,35,37,38,40
4477,15/06/2024,12,23,34,36,38,40
4475,8/06/2024,3,13,14,24,30,32
4473,1/06/2024,5,21,22,28,39,42
4471,25/05/2024,8,10,22,35,36,38
4469,18/05/2024,9,13,20,26,32,43
4467,11/05/2024,17,20,21,31,41,44
4465,4/05/2024,5,12,14,26,29,42
4463,27/04/2024,1,7,20,26,34,39
4461,20/04/2024,6,16,19,25,43,44
4459,13/04/2024,1,3,16,18,19,25
4457,6/04/2024,5,6,14,36,37,45
4455,30/03/2024,9,12,15,42,43,44
4453,23/03/2024,1,12,16,17,19,32
4451,16/03/2024,3,17,28,35,40,44
4449,9/03/2024,2,3,11,17,25,31
4447,2/03/2024,5,8,15,18,19,30
4445,24/02/2024,16,17,26,38,39,42
4443,17/02/2024,7,11,22,25,28,34
4441,10/02/2024,1,2,12,13,20,42
4439,3/02/2024,3,11,19,22,23,29
4437,27/01/2024,5,8,13,24,29,36
4435,20/01/2024,11,22,27,33,35,37
4433,13/01/2024,8,33,37,39,40,41
4431,6/01/2024,12,13,17,34,36,42
4429,30/12/2023,2,3,11,23,38,39
4427,23/12/2023,1,20,24,31,37,39
4425,16/12/2023,8,12,13,17,39,41
4423,9/12/2023,9,11,25,32,33,44
4421,2/12/2023,10,14,21,22,23,42
4419,25/11/2023,17,20,30,36,37,44
4417,18/11/2023,7,8,15,16,26,31
4415,11/11/2023,1,2,23,24,28,30
4413,4/11/2023,1,5,14,15,34,42
4411,28/10/2023,12,13,14,18,30,35
4409,21/10/2023,2,7,12,29,30,31
4407,14/10/2023,7,10,11,23,24,38
4405,7/10/2023,18,23,25,28,35,37
4403,30/09/2023,6,20,27,29,43,45
4401,23/09/2023,4,13,16,21,29,45
4399,16/09/2023,11,23,27,28,37,41
4397,9/09/2023,7,9,11,14,15,29
4395,2/09/2023,9,16,32,37,40,41
4393,26/08/2023,6,10,18,32,33,37
4391,19/08/2023,14,16,24,34,41,44
4389,12/08/2023,5,10,30,32,34,42
4387,5/08/2023,1,2,18,24,36,43
4385,29/07/2023,3,14,32,37,42,45
4383,22/07/2023,1,5,14,26,32,33
4381,15/07/2023,18,25,31,32,37,39
4379,8/07/2023,5,26,29,34,37,41
4377,1/07/2023,6,7,19,21,26,38
4375,24/06/2023,4,8,21,29,30,37
4373,17/06/2023,8,24,27,36,39,41
4371,10/06/2023,2,11,12,23,42,43
4369,3/06/2023,1,12,24,26,37,41
4367,27/05/2023,7,8,22,28,34,37
4365,20/05/2023,2,8,11,12,25,32
4363,13/05/2023,6,22,23,24,33,36
4361,6/05/2023,2,8,13,17,30,35
4359,29/04/2023,4,15,16,18,35,45
4357,22/04/2023,4,29,32,34,38,41
4355,15/04/2023,4,16,23,31,39,43
4353,8/04/2023,4,6,9,11,13,40
4351,1/04/2023,5,10,25,36,39,45
4349,25/03/2023,8,9,10,14,39,42
4347,18/03/2023,1,6,15,21,43,44
4345,11/03/2023,1,4,9,10,29,42
4343,4/03/2023,1,9,13,32,33,34
4341,25/02/2023,4,12,13,15,29,45
4339,18/02/2023,8,11,16,24,30,34
4337,11/02/2023,4,7,19,20,21,22
4335,4/02/2023,11,27,31,34,39,45
4333,28/01/2023,7,24,27,30,39,44
4331,21/01/2023,9,10,11,23,32,40
4329,14/01/2023,11,19,30,37,39,45
4327,7/01/2023,2,9,11,17,18,38
4325,31/12/2022,11,20,23,35,42,45
4323,24/12/2022,4,7,8,24,32,39
4321,17/12/2022,3,8,28,36,37,41
4319,10/12/2022,6,14,22,24,35,44
4317,3/12/2022,4,8,10,12,15,39
4315,26/11/2022,12,14,22,29,31,45
4313,19/11/2022,9,12,14,23,31,43
4311,12/11/2022,3,6,12,18,31,35
4309,5/11/2022,12,19,26,29,39,45
4307,29/10/2022,3,6,7,9,22,42
4305,22/10/2022,7,17,21,24,35,41
4303,15/10/2022,5,7,11,12,24,40
4301,8/10/2022,17,20,23,33,37,45
4299,1/10/2022,9,20,25,30,32,40
4297,24/09/2022,5,7,10,14,34,41
4295,17/09/2022,4,7,9,21,23,25
4293,10/09/2022,2,8,11,31,32,45
4291,3/09/2022,3,6,10,18,21,39
4289,27/08/2022,2,3,6,23,41,42
4287,20/08/2022,6,16,34,35,37,42
4285,13/08/2022,1,15,20,29,35,38
4283,6/08/2022,14,15,24,31,33,39
4281,30/07/2022,8,12,17,21,26,42
4279,23/07/2022,3,20,24,32,38,40
4277,16/07/2022,8,11,19,23,35,37
4275,9/07/2022,6,23,30,37,43,44
4273,2/07/2022,10,15,17,31,37,42
4271,25/06/2022,6,16,18,20,25,36
4269,18/06/2022,1,11,22,27,34,37
4267,11/06/2022,10,11,19,21,39,45
4265,4/06/2022,7,8,13,17,23,25
4263,28/05/2022,15,17,19,28,32,33
4261,21/05/2022,5,9,13,23,38,41
4259,14/05/2022,15,20,25,27,35,39
4257,7/05/2022,6,7,11,13,17,45
4255,30/04/2022,3,8,10,20,36,42
4253,23/04/2022,3,23,31,33,39,45
4251,16/04/2022,11,12,14,15,23,37
4249,9/04/2022,1,8,19,31,35,40
4247,2/04/2022,1,4,6,15,21,27
4245,26/03/2022,2,8,13,21,22,33
4243,19/03/2022,10,24,32,34,38,43
4241,12/03/2022,4,29,35,37,40,41
4239,5/03/2022,2,16,18,19,30,40
4237,26/02/2022,3,7,16,23,26,34
4235,19/02/2022,1,5,18,20,23,34
4233,12/02/2022,13,35,36,37,42,43
4231,5/02/2022,2,9,10,11,22,37
4229,29/01/2022,8,9,22,23,34,40
4227,22/01/2022,1,12,14,21,39,43
4225,15/01/2022,3,11,19,33,38,42
4223,8/01/2022,3,17,20,24,27,29
4221,31/12/2021,8,14,15,20,32,43
4219,25/12/2021,6,19,21,30,31,42
4217,18/12/2021,1,19,25,29,36,44
4215,11/12/2021,6,12,27,35,37,39
4213,4/12/2021,8,24,31,39,44,45
4211,27/11/2021,3,5,27,34,41,45
4209,20/11/2021,9,17,20,21,25,33
4207,13/11/2021,17,22,26,29,32,40
4205,6/11/2021,11,15,28,30,33,39
4203,30/10/2021,4,16,26,29,30,32
4201,23/10/2021,9,10,16,22,26,32
4199,16/10/2021,2,7,17,26,27,38
4197,9/10/2021,18,22,24,34,40,42
4195,2/10/2021,13,17,26,28,33,44
4193,25/09/2021,6,28,29,33,36,40
4191,18/09/2021,5,6,15,18,36,43
4189,11/09/2021,8,10,17,23,26,34
4187,4/09/2021,14,29,31,33,44,45
4185,28/08/2021,17,19,21,22,23,30
4183,21/08/2021,6,19,34,35,40,43
4181,14/08/2021,3,9,13,19,24,28
4179,7/08/2021,5,11,12,22,28,36
4177,31/07/2021,13,16,18,32,33,41
4175,24/07/2021,12,16,26,27,30,40
4173,17/07/2021,2,14,30,32,35,38
4171,10/07/2021,22,23,28,30,34,38
4169,3/07/2021,2,7,27,33,37,42
4167,26/06/2021,1,24,26,32,34,36
4165,19/06/2021,12,14,30,34,40,41
4163,12/06/2021,5,13,15,28,37,45
4161,5/06/2021,1,11,24,32,33,44
4159,29/05/2021,2,7,16,28,30,42
4157,22/05/2021,6,7,9,13,23,27
4155,15/05/2021,5,15,16,19,20,41
4153,8/05/2021,2,4,9,26,31,41
4151,1/05/2021,5,14,18,22,31,42
4149,24/04/2021,2,4,8,31,32,44
4147,17/04/2021,5,13,17,33,38,44
4145,10/04/2021,7,8,20,22,26,42
4143,3/04/2021,1,21,31,38,39,41
4141,27/03/2021,2,4,12,23,24,35
4139,20/03/2021,8,9,13,19,22,32
4137,13/03/2021,15,17,22,27,37,40
4135,6/03/2021,11,16,26,32,39,42
4133,27/02/2021,4,6,24,35,42,45
4131,20/02/2021,3,5,9,26,35,41
4129,13/02/2021,1,3,4,22,42,43
4127,6/02/2021,3,6,8,10,12,24
4125,30/01/2021,3,6,15,20,30,31
4123,23/01/2021,1,6,8,10,29,40
4121,16/01/2021,4,12,14,17,22,33
4119,9/01/2021,7,9,20,22,34,45
4117,2/01/2021,5,7,14,16,17,44
4115,26/12/2020,2,5,11,21,30,32
4113,19/12/2020,9,16,26,35,39,41
4111,12/12/2020,14,16,35,38,40,43
4109,5/12/2020,1,9,11,24,32,41
4107,28/11/2020,10,18,20,34,35,37
4105,21/11/2020,2,21,27,37,39,42
4103,14/11/2020,6,15,23,26,27,45
4101,7/11/2020,1,3,7,8,15,35
4099,31/10/2020,4,13,19,26,27,34
4097,24/10/2020,3,23,30,31,38,45
4095,17/10/2020,5,8,12,14,16,38
4093,10/10/2020,5,12,24,26,34,37
4091,3/10/2020,3,11,21,24,29,38
4089,26/09/2020,1,7,22,28,36,42
4087,19/09/2020,1,8,14,23,26,41
4085,12/09/2020,12,27,28,31,36,39
4083,5/09/2020,2,3,13,32,37,38
4081,29/08/2020,13,16,20,25,40,44
4079,22/08/2020,2,7,9,16,33,43
4077,15/08/2020,13,16,29,34,35,41
4075,8/08/2020,1,11,17,18,34,42
4073,1/08/2020,8,9,23,29,38,42
4071,25/07/2020,6,9,16,32,37,44
4069,18/07/2020,2,18,21,22,35,43
4067,11/07/2020,22,26,27,29,32,38
4065,4/07/2020,17,31,33,35,39,42
4063,27/06/2020,15,19,24,28,35,41
4061,20/06/2020,9,11,17,19,22,29
4059,13/06/2020,3,17,29,32,34,38
4057,6/06/2020,3,10,18,19,22,27
4055,30/05/2020,3,15,19,22,25,44
4053,23/05/2020,1,21,25,30,32,45
4051,16/05/2020,4,11,16,17,19,26
4049,9/05/2020,7,21,22,35,38,39
4047,2/05/2020,10,14,16,18,31,43
4045,25/04/2020,3,15,17,23,34,38
4043,18/04/2020,23,24,29,39,40,41
4041,11/04/2020,5,10,11,14,26,27
4039,4/04/2020,11,19,22,33,36,39
4037,28/03/2020,3,7,10,16,37,43
