drug_name,manufacturer,approval_year,drug_class,indications,side_effects,dosage_mg,administration_route,contraindications,warnings,price_usd,batch_number,expiry_date,side_effect_severity,approval_status
Seroxetine50,AstraZeneca,1996,Antidepressant,Allergy relief,"Fatigue, Nausea",260,Rectal,Bleeding disorders,Avoid alcohol,192.43,MV388Pl,2026-11-29,Mild,Pending
Mecoparin93,AstraZeneca,2018,Vaccine,Allergy relief,Nausea,470,Inhalation,Allergic reaction,Take with food,397.82,UR279ZN,2027-07-14,Mild,Approved
Daxozole89,Merck & Co.,1997,Antipsychotic,Allergy relief,"Diarrhea, Blurred vision, Dizziness",330,Sublingual,High blood pressure,Take with food,131.69,we040kH,2028-06-02,Moderate,Pending
Viracillin84,Roche Holding AG,2004,Antifungal,Inflammation reduction,"Fatigue, Dry mouth",450,Oral,Kidney impairment,Do not operate machinery,372.82,hO060rh,2026-07-07,Mild,Rejected
Amoxstatin62,Pfizer Inc.,2003,Antidepressant,Psychosis control,"Insomnia, Dry mouth, Fatigue",430,Topical,Bleeding disorders,Do not operate machinery,281.48,Fa621Sw,2027-12-28,Moderate,Pending
Loxocillin72,Johnson & Johnson,2023,Antifungal,Viral infections,"Rash, Dizziness",180,Intravenous,Bleeding disorders,May affect fertility,463.28,Nl465Ez,2025-12-15,Moderate,Rejected
Fenoxetine43,AstraZeneca,2004,Anti-inflammatory,Psychosis control,Blurred vision,500,Topical,Bleeding disorders,May affect fertility,320.77,Id480PC,2025-10-24,Mild,Pending
Fenomab17,GlaxoSmithKline,2018,Analgesic,Bacterial infections,Nausea,570,Inhalation,Seizures,Avoid alcohol,57.48,XK920cq,2026-09-27,Severe,Approved
Cefparin42,Sanofi,2012,Analgesic,Prevent infectious disease,Dry mouth,420,Oral,Asthma,Avoid alcohol,251.97,TU342KC,2026-10-04,Moderate,Approved
Rivaprofen81,GlaxoSmithKline,2013,Antibiotic,Bacterial infections,"Insomnia, Fatigue, Headache",580,Intramuscular,Pregnancy,Take with food,4.48,LQ578uz,2025-10-25,Severe,Approved
Fenocillin43,AstraZeneca,1994,Antiviral,Allergy relief,"Dizziness, Fatigue",860,Oral,Liver disease,Risk of addiction,99.56,FP064JV,2028-07-23,Severe,Rejected
Amoxxetine60,Johnson & Johnson,1997,Antihistamine,Allergy relief,Dry mouth,730,Topical,Allergic reaction,Do not operate machinery,176.53,oL649Gy,2028-02-28,Moderate,Approved
Zylomab54,Bayer AG,2017,Antiviral,Fungal infections,"Rash, Diarrhea, Insomnia",20,Inhalation,Liver disease,Monitor blood pressure,295.29,gz867Gp,2028-04-13,Moderate,Approved
Amoxstatin52,AstraZeneca,2008,Antibiotic,Depression treatment,"Constipation, Diarrhea, Blurred vision",580,Intravenous,Pregnancy,Do not operate machinery,156.63,Kp602HU,2026-02-04,Mild,Pending
Virazole50,Johnson & Johnson,2020,Antipyretic,Viral infections,"Headache, Dizziness, Constipation",10,Topical,Seizures,May cause drowsiness,412.56,vP121pU,2028-04-13,Severe,Rejected
Cefprofen42,Merck & Co.,1999,Antipsychotic,Allergy relief,"Dizziness, Insomnia, Constipation",790,Topical,Pregnancy,May affect fertility,49.47,AR108jz,2026-08-07,Severe,Approved
Cefzole42,GlaxoSmithKline,1996,Antidepressant,Pain relief,Blurred vision,770,Rectal,Asthma,Take with food,85.4,JW654ck,2027-06-07,Severe,Rejected
Fenomab41,Roche Holding AG,2020,Antibiotic,Fever reduction,"Headache, Diarrhea, Insomnia",790,Intramuscular,Seizures,Avoid sunlight exposure,109.81,Ti286wo,2027-04-08,Severe,Pending
Mecoparin65,Sanofi,2016,Antiviral,Bacterial infections,"Fatigue, Diarrhea",990,Intravenous,Asthma,Use with caution in elderly,270.85,xl072nC,2027-12-03,Mild,Pending
Seroxetine86,GlaxoSmithKline,1992,Antibiotic,Inflammation reduction,"Rash, Fatigue",730,Oral,Seizures,Avoid alcohol,200.23,Xr189Tw,2027-08-06,Severe,Pending
Zylostatin70,Merck & Co.,2002,Antipyretic,Depression treatment,"Diarrhea, Insomnia",360,Oral,High blood pressure,Do not operate machinery,101.19,xz503bu,2026-06-21,Severe,Approved
Amoxstatin45,Moderna Therapeutics,1997,Antipsychotic,Inflammation reduction,Diarrhea,380,Oral,Liver disease,May cause drowsiness,193.27,ff665ER,2027-04-06,Severe,Pending
Cefmab58,Novartis AG,1990,Antipsychotic,Fungal infections,Headache,540,Intravenous,Seizures,Avoid alcohol,498.4,Nu212OF,2027-02-23,Mild,Rejected
Amoxvir52,Sanofi,2001,Antihistamine,Fungal infections,"Dry mouth, Insomnia",510,Topical,Asthma,Monitor blood pressure,433.16,pN426wC,2026-04-09,Mild,Rejected
Zyloparin93,Sanofi,2018,Antiviral,Bacterial infections,Fatigue,600,Topical,Bleeding disorders,Do not discontinue abruptly,489.56,ER909gT,2028-02-02,Severe,Pending
Daxoprofen23,Pfizer Inc.,2024,Antibiotic,Pain relief,"Fatigue, Nausea",300,Rectal,High blood pressure,Avoid sunlight exposure,340.85,tb051tZ,2027-10-22,Mild,Rejected
Loxomab59,Johnson & Johnson,1990,Antipsychotic,Bacterial infections,Dry mouth,10,Oral,Heart disease,May affect fertility,146.95,dU359vk,2026-02-18,Severe,Pending
Serodipine76,Bayer AG,1993,Antipsychotic,Fungal infections,"Fatigue, Diarrhea",450,Intravenous,Asthma,May cause drowsiness,166.48,On333ej,2026-06-12,Severe,Approved
Loxozepam62,GlaxoSmithKline,1990,Anti-inflammatory,Depression treatment,"Insomnia, Rash, Constipation",150,Sublingual,Pregnancy,May cause drowsiness,37.73,YH453Zb,2027-03-18,Moderate,Pending
Rivaprofen67,Merck & Co.,1997,Anti-inflammatory,Fever reduction,"Fatigue, Nausea, Dizziness",60,Inhalation,Kidney impairment,Do not discontinue abruptly,9.05,qu491Ck,2025-12-07,Severe,Rejected
Viraparin11,Pfizer Inc.,2020,Antipyretic,Bacterial infections,Insomnia,920,Topical,Liver disease,May affect fertility,207.32,Zq996jF,2028-07-20,Mild,Rejected
Fenoparin78,Johnson & Johnson,2007,Antidepressant,Allergy relief,Fatigue,460,Sublingual,Asthma,Do not operate machinery,451.54,lR165PH,2027-11-28,Mild,Approved
Cefmab22,Roche Holding AG,1990,Anti-inflammatory,Depression treatment,"Rash, Dizziness, Diarrhea",540,Intravenous,Asthma,Do not operate machinery,265.79,YZ207Oj,2027-04-24,Severe,Approved
Fenocillin11,Novartis AG,1998,Antihistamine,Depression treatment,Headache,270,Intravenous,Bleeding disorders,Monitor blood pressure,231.12,Dm069bR,2028-03-01,Severe,Approved
Daxoparin20,Johnson & Johnson,1991,Antipsychotic,Fever reduction,"Diarrhea, Blurred vision, Headache",950,Topical,High blood pressure,Monitor blood pressure,260.47,PM794OV,2028-03-30,Moderate,Approved
Amoxzepam36,Sanofi,2008,Vaccine,Inflammation reduction,"Headache, Dry mouth, Nausea",430,Intramuscular,Liver disease,May affect fertility,482.33,sr672Fo,2026-11-22,Moderate,Pending
Mecodipine51,Pfizer Inc.,2003,Antiviral,Allergy relief,Insomnia,440,Intramuscular,Seizures,Do not operate machinery,466.79,HP064At,2027-08-04,Moderate,Rejected
Daxomab60,Merck & Co.,1992,Antiviral,Bacterial infections,Rash,700,Sublingual,Bleeding disorders,Do not operate machinery,381.41,gH460LX,2026-10-28,Moderate,Rejected
Viraparin98,AstraZeneca,2015,Antipsychotic,Inflammation reduction,"Constipation, Diarrhea, Blurred vision",360,Intramuscular,Seizures,Risk of addiction,478.6,RV092oJ,2027-07-14,Mild,Pending
Mecoprofen83,Johnson & Johnson,1999,Antidepressant,Pain relief,"Blurred vision, Nausea",50,Intramuscular,Diabetes,Avoid alcohol,369.83,ZF007mi,2028-01-10,Mild,Rejected
Mecozole78,Novartis AG,2016,Antipyretic,Prevent infectious disease,"Dizziness, Diarrhea",530,Topical,Asthma,Monitor blood pressure,477.83,mN172Uf,2026-01-20,Moderate,Rejected
Amoxvir15,GlaxoSmithKline,2023,Anti-inflammatory,Bacterial infections,"Nausea, Dry mouth, Diarrhea",670,Intramuscular,Kidney impairment,Do not operate machinery,216.85,Bh756PW,2027-04-30,Moderate,Approved
Cefcillin81,Sanofi,2014,Antiviral,Depression treatment,"Headache, Blurred vision",560,Sublingual,Bleeding disorders,Do not operate machinery,103.54,ZI750Qj,2026-02-22,Mild,Rejected
Amoxvir70,Roche Holding AG,2024,Antipsychotic,Viral infections,"Dizziness, Headache, Nausea",410,Intravenous,Asthma,Take with food,479.84,Wq735lJ,2028-06-02,Severe,Pending
Cefzepam73,Moderna Therapeutics,1996,Antihistamine,Depression treatment,Rash,380,Sublingual,Asthma,May cause drowsiness,157.7,oh442Uk,2026-08-05,Severe,Approved
Mecoxetine49,Bayer AG,1990,Antihistamine,Depression treatment,Rash,470,Inhalation,Bleeding disorders,May cause drowsiness,11.89,dS738YS,2027-11-18,Severe,Pending
Amoxvir19,Merck & Co.,1996,Antifungal,Viral infections,"Fatigue, Rash",750,Oral,Bleeding disorders,Avoid alcohol,162.8,za332dp,2026-05-06,Mild,Pending
Zyloparin70,Novartis AG,1993,Anti-inflammatory,Depression treatment,Constipation,150,Sublingual,Diabetes,Risk of addiction,144.51,Vg500oj,2026-03-15,Moderate,Pending
Seroprofen35,GlaxoSmithKline,2012,Antipyretic,Fever reduction,"Rash, Diarrhea",250,Rectal,Heart disease,Do not operate machinery,149.25,Qz911ue,2027-12-01,Mild,Rejected
Daxozole11,Sanofi,2022,Antibiotic,Fungal infections,"Rash, Headache, Nausea",450,Intramuscular,Liver disease,May cause drowsiness,446.13,QM274Xc,2027-01-05,Severe,Rejected
Amoxstatin67,Bayer AG,2003,Anti-inflammatory,Viral infections,"Dizziness, Headache",960,Intravenous,Asthma,Use with caution in elderly,138.45,uU245NU,2025-08-21,Moderate,Pending
Mecoxetine94,Pfizer Inc.,2005,Antihistamine,Bacterial infections,"Headache, Nausea",290,Sublingual,Pregnancy,Do not discontinue abruptly,248.06,iK374yi,2026-11-15,Severe,Rejected
Loxoparin76,Bayer AG,2002,Antipyretic,Fever reduction,"Rash, Insomnia, Fatigue",160,Rectal,Diabetes,Avoid sunlight exposure,434.49,WC839fm,2027-07-26,Mild,Rejected
Virazole73,Roche Holding AG,1995,Analgesic,Fungal infections,"Nausea, Insomnia, Diarrhea",530,Rectal,Seizures,Risk of addiction,71.7,sY006lI,2028-03-19,Mild,Pending
Loxozole57,Johnson & Johnson,2024,Antibiotic,Bacterial infections,Dry mouth,210,Oral,Seizures,Avoid alcohol,209.75,bY100yT,2026-11-09,Severe,Approved
Viraxetine66,Moderna Therapeutics,1992,Vaccine,Psychosis control,"Headache, Dry mouth, Dizziness",990,Intravenous,High blood pressure,Do not discontinue abruptly,324.59,pm176ZD,2027-06-15,Moderate,Pending
Daxomab70,Moderna Therapeutics,2009,Antidepressant,Inflammation reduction,"Fatigue, Diarrhea",120,Sublingual,Diabetes,Avoid sunlight exposure,41.95,OW258yR,2027-01-06,Mild,Rejected
Seroxetine12,Merck & Co.,2008,Anti-inflammatory,Bacterial infections,"Insomnia, Nausea",370,Topical,Bleeding disorders,May affect fertility,283.08,jN802tQ,2025-12-30,Moderate,Rejected
Fenocillin31,Moderna Therapeutics,1996,Analgesic,Depression treatment,Blurred vision,970,Inhalation,High blood pressure,Avoid alcohol,436.87,Et179ok,2027-04-04,Moderate,Rejected
Zylomab94,Roche Holding AG,1998,Antibiotic,Fungal infections,"Insomnia, Diarrhea",20,Inhalation,Heart disease,May cause drowsiness,352.19,JW717ip,2028-01-23,Mild,Pending
