date,num1,num2,num3,num4,num5,num6,sup1,sup2
23/01/2021,1,6,8,10,29,40,31,42
16/01/2021,4,12,14,17,22,33,25,28
09/01/2021,7,9,20,22,34,45,10,12
02/01/2021,5,7,14,16,17,44,26,31
26/12/2020,2,5,11,21,30,32,25,42
19/12/2020,9,16,26,35,39,41,13,33
12/12/2020,14,16,35,38,40,43,1,33
05/12/2020,1,9,11,24,32,41,15,38
28/11/2020,10,18,20,34,35,37,7,41
21/11/2020,2,21,27,37,39,42,7,11
14/11/2020,6,15,23,26,27,45,2,29
07/11/2020,1,3,7,8,15,35,5,10
31/10/2020,4,13,19,26,27,34,6,15
24/10/2020,3,23,30,31,38,45,19,40
17/10/2020,5,8,12,14,16,38,3,17
10/10/2020,5,12,24,26,34,37,2,3
03/10/2020,3,11,21,24,29,38,36,40
26/09/2020,1,7,22,28,36,42,11,14
19/09/2020,1,8,14,23,26,41,12,33
12/09/2020,12,27,28,31,36,39,6,24
05/09/2020,2,3,13,32,37,38,29,36
29/08/2020,13,16,20,25,40,44,4,28
22/08/2020,2,7,9,16,33,43,20,34
15/08/2020,13,16,29,34,35,41,12,45
08/08/2020,1,11,17,18,34,42,19,43
01/08/2020,8,9,23,29,38,42,13,17
25/07/2020,6,9,16,32,37,44,11,12
18/07/2020,2,18,21,22,35,43,10,37
11/07/2020,22,26,27,29,32,38,30,42
04/07/2020,17,31,33,35,39,42,36,41
27/06/2020,15,19,24,28,35,41,23,30
20/06/2020,9,11,17,19,22,29,14,21
13/06/2020,3,17,29,32,34,38,12,28
06/06/2020,3,10,18,19,22,27,41,42
30/05/2020,3,15,19,22,25,44,1,42
23/05/2020,1,21,25,30,32,45,31,38
16/05/2020,4,11,16,17,19,26,15,25
09/05/2020,7,21,22,35,38,39,34,44
02/05/2020,10,14,16,18,31,43,4,35
25/04/2020,3,15,17,23,34,38,18,31
18/04/2020,23,24,29,39,40,41,5,37
11/04/2020,5,10,11,14,26,27,35,37
04/04/2020,11,19,22,33,36,39,7,18
28/03/2020,3,7,10,16,37,43,20,23
21/03/2020,10,19,26,27,31,33,9,43
14/03/2020,8,13,27,40,41,42,3,4
07/03/2020,3,7,28,33,34,40,1,38
29/02/2020,3,12,29,30,31,38,22,45
22/02/2020,8,11,15,16,23,29,7,25
15/02/2020,3,4,11,21,24,39,34,40
08/02/2020,17,19,24,36,38,44,2,39
01/02/2020,1,10,17,24,29,33,5,26
25/01/2020,10,17,19,24,36,38,22,40
18/01/2020,3,10,12,24,34,35,38,40
11/01/2020,11,17,18,20,37,41,15,36
04/01/2020,11,16,33,38,40,42,12,45
28/12/2019,1,13,19,31,37,39,5,33
21/12/2019,18,23,28,30,35,37,4,33
14/12/2019,1,9,31,34,39,40,17,37
07/12/2019,1,13,16,25,30,32,17,22
30/11/2019,10,16,20,22,30,38,14,42
23/11/2019,7,14,25,30,37,45,6,34
16/11/2019,11,22,28,31,32,34,14,21
09/11/2019,1,10,25,27,28,36,14,18
02/11/2019,1,2,10,12,21,42,13,40
26/10/2019,2,7,28,29,31,45,6,38
19/10/2019,18,21,26,39,41,43,33,35
12/10/2019,6,8,16,17,27,33,26,28
05/10/2019,4,12,20,33,34,36,10,23
28/09/2019,4,11,18,20,22,41,12,44
21/09/2019,14,29,32,33,40,43,12,24
14/09/2019,7,20,27,38,39,41,9,43
07/09/2019,1,8,10,14,23,36,7,15
31/08/2019,7,14,15,17,36,41,20,24
24/08/2019,4,9,10,11,32,33,23,29
17/08/2019,6,19,23,24,28,35,29,38
10/08/2019,1,6,9,37,38,39,11,45
03/08/2019,3,5,28,32,38,44,25,27
27/07/2019,11,13,23,27,35,38,5,8
20/07/2019,2,8,12,18,30,42,14,39
13/07/2019,5,16,18,22,36,41,1,7
06/07/2019,15,18,23,30,41,44,1,5
29/06/2019,5,14,21,33,35,42,7,40
22/06/2019,5,10,11,12,29,41,13,21
15/06/2019,8,18,24,39,41,42,5,16
08/06/2019,1,22,24,36,39,42,12,41
01/06/2019,6,9,20,25,27,31,2,36
25/05/2019,1,11,18,29,35,44,28,38
18/05/2019,2,6,8,36,39,45,5,13
11/05/2019,17,27,28,32,34,44,8,22
